startupId;startup;founder;fieldOfStudy;degreeName;fieldOfStudy_pt;degreeName_pt;start;end;schoolName;google_place_name;latitude;longitude;endereco;endereco_detalhe
zygon-adtech;Zygon AdTech;5eb2113ba7e8c4bce173dd2f;Communication, Politics, Data Science;Doctor (PhD);Comunicação, Política, Ciência de Dados;Doutor (PhD);2014;2018;Universidade Federal da Bahia;Universidade Federal da Bahia Campus Ondina;-13.003676;-38.5100127;Av. Adhemar de Barros, s/nº - Ondina, Salvador - BA, 40170-110, Brasil;XFWQ+GX Ondina, Salvador - BA
zygon-adtech;Zygon AdTech;5eb2113ba7e8c4bce173dd2f;Comunicação Digital;Mestrado;Comunicação Digital;Mestrado;2010;2011;;;;;;
zygon-adtech;Zygon AdTech;5eb2113ba7e8c4bce173dd2f;Communication, General;Bachelor's degree;Comunicação Geral;diploma de bacharel;2006;2010;Universidade Federal da Bahia;Universidade Federal da Bahia Campus Ondina;-13.003676;-38.5100127;Av. Adhemar de Barros, s/nº - Ondina, Salvador - BA, 40170-110, Brasil;XFWQ+GX Ondina, Salvador - BA
zup-it-innovation;Zup IT Innovation;5eb21141a7e8c4bce173dd3b;Ciência da Computação;Bacharelado;Ciência da Computação;Bacharelado;2004;2008;UNITRI - Centro Universitário do Triângulo;Centro Universitário do Triângulo Psicologia;-18.9568902;-48.2721192;Av. Nicomedes Alves dos Santos, 4545 - Gávea, Uberlândia - MG, 38411-106, Brasil;2PVH+65 Gávea, Uberlândia - MG
zup-it-innovation;Zup IT Innovation;5eb21141a7e8c4bce173dd3b;Admin;Graduating;Admin;Graduação;2008;2012;Universidade Federal de Ouro Preto;Universidade Federal de Ouro Preto - UFOP;-20.3969645;-43.5095303;Rua Professor Paulo Magalhães Gomes, 122 - Bauxita, Ouro Preto - MG, 35400-000, Brasil;JF3R+65 Bauxita, Ouro Preto - MG
zup-it-innovation;Zup IT Innovation;5eb21141a7e8c4bce173dd3b;Administração, Negócios e Marketing;Enterpreneurship Program;Administração, Negócios e Marketing;Programa de Empreendedorismo;2014;2014;Stanford University Graduate School of Business;Stanford Graduate School of Business;37.4280521;-122.1611732;655 Knight Way, Stanford, CA 94305, Estados Unidos;CRHQ+6G Stanford, California, Estados Unidos
zup-it-innovation;Zup IT Innovation;5eb21144a7e8c4bce173dd3d;Business, Management, Marketing, and Related Support Services;Master of Business Administration - MBA;Negócios, administração, marketing e serviços de apoio relacionados;Mestre Em Administração De Empresas - MBA;2006;2007;ESPM Escola Superior de Propaganda e Marketing;ESPM;-23.59;-46.64;Rua Dr. Álvaro Alvim, 123 - Vila Mariana, São Paulo - SP, 04018-010, Brasil;C956+X2 Vila Mariana, São Paulo - SP
zup-it-innovation;Zup IT Innovation;5eb21144a7e8c4bce173dd3d;Business Administration and Management, General;Bachelor's degree;Administração e Gerenciamento de Negócios, Geral;diploma de bacharel;2000;2005;Unitri - Centro Universitário do Triângulo;Centro Universitário do Triângulo Psicologia;-18.9568902;-48.2721192;Av. Nicomedes Alves dos Santos, 4545 - Gávea, Uberlândia - MG, 38411-106, Brasil;2PVH+65 Gávea, Uberlândia - MG
zup-it-innovation;Zup IT Innovation;5eb2114aa7e8c4bce173dd3f;;Executive Program;;Programa Executivo;2016;2016;Singularity University ;Singularity University;37.3883786;-121.9792585;2831 Mission College Blvd, Santa Clara, CA 95054, Estados Unidos;92QC+97 Santa Clara, California, Estados Unidos
zup-it-innovation;Zup IT Innovation;5eb2114aa7e8c4bce173dd3f;;international business;;negócios internacionais;;;Rollins College;Rollins College Hamilton Holt School;28.5933732;-81.352961;311 W Fairbanks Ave, Winter Park, FL 32789, Estados Unidos;HJVW+8R Winter Park, Florida, Estados Unidos
