Founder;GrauAcademico;BeginYear;EndYear;Momento;NomeIES;SiglaIES;Categoria;OrganizacaoAcademica;IGCContinuo;IGCFaixa;LatitudeIES;LongitudeIES;CidadeIES;EstadoIES;RegiaoIES;EhCidadeIESCapital;OrganizationID;AnoCriacao;LatitudeStartup;LongitudeStartup;P;CidadeStartup;EstadoStartup;EhCidadeStartupCapital;RegiaoStartup
5eb249e9a7e8c4bce1740eeb;Graduação;1999;2003;Antes;"FACULDADE DE INFORMÁTICA E ADMINISTRAÇÃO PAULISTA";FIAP;Privada;Faculdade;3.352450000000000000;4;-23.595105600000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;00k-e-commerce-tools;2012;-23.625664500000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
5eb249dda7e8c4bce1740ee3;Graduação;2003;2007;Antes;"UNIVERSIDADE DO EXTREMO SUL CATARINENSE";UNESC;Privada;Universidade;2.812500000000000000;3;-28.701636200000000000;-49.365940000000000000;Criciúma;"Santa Catarina";Sul;0;1doc;2014;-27.430820900000000000;-48.547637000000000000;NULL;Florianópolis;"Santa Catarina";1;Sul
5eb249cda7e8c4bce1740ed3;Especialização;2010;2011;Antes;"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ";UNOCHAPECÓ;Privada;Universidade;2.937700000000000000;3;-27.093903000000000000;-52.617031000000000000;Chapecó;"Santa Catarina";Sul;0;2adv-soluções-jurídicas;2016;-27.104491500000000000;-52.617031000000000000;NULL;Chapecó;"Santa Catarina";0;Sul
5eb249cda7e8c4bce1740ed3;Graduação;2005;2008;Antes;"FACULDADE CESUMAR";CESUMAR;Privada;Faculdade;3.198840000000000000;4;-25.481371900000000000;-49.271848000000000000;Curitiba;Paraná;Sul;1;2adv-soluções-jurídicas;2016;-27.104491500000000000;-52.617031000000000000;NULL;Chapecó;"Santa Catarina";0;Sul
5eb249d3a7e8c4bce1740ed7;Especialização;2018;2019;Depois;"FACULDADE IBMEC";IBMEC;Privada;Faculdade;3.327430000000000000;4;-25.427272800000000000;-49.271848000000000000;Curitiba;Paraná;Sul;1;2adv-soluções-jurídicas;2016;-27.104491500000000000;-52.617031000000000000;NULL;Chapecó;"Santa Catarina";0;Sul
5eb249d3a7e8c4bce1740ed7;Especialização;2007;2009;Antes;"ESCOLA DE CIÊNCIAS SOCIAIS";FGVSC;Privada;Faculdade;4.780440000000000000;5;-22.941373000000000000;-43.227875000000000000;"Rio de Janeiro";"Rio de Janeiro";Sudeste;1;2adv-soluções-jurídicas;2016;-27.104491500000000000;-52.617031000000000000;NULL;Chapecó;"Santa Catarina";0;Sul
5eb249d6a7e8c4bce1740edb;Graduação;2000;2005;Antes;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL";PUCRS;Privada;Universidade;3.664940000000000000;4;-30.058925000000000000;-51.228660000000000000;"Porto Alegre";"Rio Grande do Sul";Sul;1;2adv-soluções-jurídicas;2016;-27.104491500000000000;-52.617031000000000000;NULL;Chapecó;"Santa Catarina";0;Sul
5eb249c2a7e8c4bce1740ec9;Graduação;2010;2014;Antes;"UNIVERSIDADE DO SUL DE SANTA CATARINA";UNISUL;Privada;Universidade;2.764190000000000000;3;-27.596507100000000000;-48.547637000000000000;Florianópolis;"Santa Catarina";Sul;1;3dprotos;2015;-30.017870200000000000;-51.228660000000000000;NULL;"Porto Alegre";"Rio Grande do Sul";1;Sul
5eb249c2a7e8c4bce1740ec9;Graduação;2005;2012;Antes;"UNIVERSIDADE FEDERAL DE SANTA MARIA";UFSM;Pública;Universidade;3.872690000000000000;4;-29.721549300000000000;-53.808675000000000000;"Santa Maria";"Rio Grande do Sul";Sul;0;3dprotos;2015;-30.017870200000000000;-51.228660000000000000;NULL;"Porto Alegre";"Rio Grande do Sul";1;Sul
5eb249bca7e8c4bce1740ec3;Graduação;2005;2010;Antes;"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO";PUCSP;Privada;Universidade;3.725610000000000000;4;-23.537920100000000000;-46.570383000000000000;"São Paulo";"São Paulo";Sudeste;1;3stamina;2012;-23.593500800000000000;-46.570383000000000000;NULL;"São Paulo";"São Paulo";1;Sudeste
