Name;State;Region;Ano;IDHM;"IDHM Educacao";"IDHM Longividade";"IDHM Renda"
"Alta Floresta D'Oeste";Rondônia;Norte;1991;0.329;0.112;0.617;0.516
"Alta Floresta D'Oeste";Rondônia;Norte;2000;0.483;0.262;0.698;0.617
"Alta Floresta D'Oeste";Rondônia;Norte;2010;0.641;0.526;0.763;0.657
Ariquemes;Rondônia;Norte;1991;0.432;0.199;0.684;0.593
Ariquemes;Rondônia;Norte;2000;0.556;0.343;0.742;0.674
Ariquemes;Rondônia;Norte;2010;0.702;0.600;0.806;0.716
Cabixi;Rondônia;Norte;1991;0.309;0.108;0.636;0.430
Cabixi;Rondônia;Norte;2000;0.488;0.284;0.677;0.604
Cabixi;Rondônia;Norte;2010;0.650;0.559;0.757;0.650
Cacoal;Rondônia;Norte;1991;0.407;0.171;0.667;0.593
Cacoal;Rondônia;Norte;2000;0.567;0.377;0.745;0.650
Cacoal;Rondônia;Norte;2010;0.718;0.620;0.821;0.727
Cerejeiras;Rondônia;Norte;1991;0.386;0.167;0.629;0.547
Cerejeiras;Rondônia;Norte;2000;0.542;0.338;0.704;0.668
Cerejeiras;Rondônia;Norte;2010;0.692;0.602;0.799;0.688
"Colorado do Oeste";Rondônia;Norte;1991;0.376;0.151;0.658;0.536
"Colorado do Oeste";Rondônia;Norte;2000;0.545;0.362;0.710;0.629
"Colorado do Oeste";Rondônia;Norte;2010;0.685;0.584;0.814;0.676
Corumbiara;Rondônia;Norte;1991;0.203;0.039;0.572;0.373
Corumbiara;Rondônia;Norte;2000;0.401;0.185;0.649;0.539
Corumbiara;Rondônia;Norte;2010;0.613;0.473;0.774;0.630
"Costa Marques";Rondônia;Norte;1991;0.425;0.220;0.629;0.553
"Costa Marques";Rondônia;Norte;2000;0.486;0.295;0.650;0.598
"Costa Marques";Rondônia;Norte;2010;0.611;0.493;0.751;0.616
"Espigão D'Oeste";Rondônia;Norte;1991;0.388;0.159;0.653;0.561
"Espigão D'Oeste";Rondônia;Norte;2000;0.501;0.276;0.710;0.640
"Espigão D'Oeste";Rondônia;Norte;2010;0.672;0.536;0.819;0.691
Guajará-Mirim;Rondônia;Norte;1991;0.468;0.247;0.662;0.625
Guajará-Mirim;Rondônia;Norte;2000;0.573;0.398;0.742;0.638
Guajará-Mirim;Rondônia;Norte;2010;0.657;0.519;0.823;0.663
Jaru;Rondônia;Norte;1991;0.352;0.124;0.658;0.534
Jaru;Rondônia;Norte;2000;0.514;0.305;0.710;0.626
Jaru;Rondônia;Norte;2010;0.689;0.577;0.825;0.687
Ji-Paraná;Rondônia;Norte;1991;0.433;0.209;0.659;0.589
Ji-Paraná;Rondônia;Norte;2000;0.564;0.373;0.713;0.676
Ji-Paraná;Rondônia;Norte;2010;0.714;0.617;0.810;0.728
"Machadinho D'Oeste";Rondônia;Norte;1991;0.286;0.074;0.591;0.533
"Machadinho D'Oeste";Rondônia;Norte;2000;0.449;0.225;0.680;0.592
"Machadinho D'Oeste";Rondônia;Norte;2010;0.596;0.446;0.755;0.629
"Nova Brasilândia D'Oeste";Rondônia;Norte;1991;0.272;0.079;0.607;0.421
"Nova Brasilândia D'Oeste";Rondônia;Norte;2000;0.459;0.251;0.660;0.583
"Nova Brasilândia D'Oeste";Rondônia;Norte;2010;0.643;0.524;0.763;0.664
"Ouro Preto do Oeste";Rondônia;Norte;1991;0.382;0.155;0.629;0.570
"Ouro Preto do Oeste";Rondônia;Norte;2000;0.533;0.326;0.704;0.658
"Ouro Preto do Oeste";Rondônia;Norte;2010;0.682;0.569;0.812;0.687
"Pimenta Bueno";Rondônia;Norte;1991;0.412;0.185;0.629;0.599
"Pimenta Bueno";Rondônia;Norte;2000;0.573;0.402;0.704;0.666
"Pimenta Bueno";Rondônia;Norte;2010;0.710;0.613;0.803;0.726
"Porto Velho";Rondônia;Norte;1991;0.495;0.290;0.633;0.660
"Porto Velho";Rondônia;Norte;2000;0.613;0.469;0.704;0.697
"Porto Velho";Rondônia;Norte;2010;0.736;0.638;0.819;0.764
"Presidente Médici";Rondônia;Norte;1991;0.348;0.128;0.647;0.507
"Presidente Médici";Rondônia;Norte;2000;0.485;0.276;0.681;0.607
"Presidente Médici";Rondônia;Norte;2010;0.664;0.550;0.792;0.671
"Rio Crespo";Rondônia;Norte;1991;0.259;0.065;0.578;0.461
"Rio Crespo";Rondônia;Norte;2000;0.441;0.225;0.699;0.544
"Rio Crespo";Rondônia;Norte;2010;0.643;0.513;0.813;0.637
"Rolim de Moura";Rondônia;Norte;1991;0.383;0.153;0.665;0.554
"Rolim de Moura";Rondônia;Norte;2000;0.559;0.364;0.742;0.646
"Rolim de Moura";Rondônia;Norte;2010;0.700;0.598;0.808;0.709
"Santa Luzia D'Oeste";Rondônia;Norte;1991;0.289;0.100;0.572;0.422
"Santa Luzia D'Oeste";Rondônia;Norte;2000;0.482;0.297;0.693;0.543
"Santa Luzia D'Oeste";Rondônia;Norte;2010;0.670;0.564;0.812;0.657
Vilhena;Rondônia;Norte;1991;0.498;0.284;0.665;0.655
Vilhena;Rondônia;Norte;2000;0.620;0.464;0.745;0.689
Vilhena;Rondônia;Norte;2010;0.731;0.659;0.808;0.734
"São Miguel do Guaporé";Rondônia;Norte;1991;0.252;0.066;0.559;0.433
"São Miguel do Guaporé";Rondônia;Norte;2000;0.409;0.179;0.660;0.578
"São Miguel do Guaporé";Rondônia;Norte;2010;0.646;0.537;0.781;0.644
"Nova Mamoré";Rondônia;Norte;1991;0.336;0.134;0.547;0.517
"Nova Mamoré";Rondônia;Norte;2000;0.446;0.242;0.650;0.565
"Nova Mamoré";Rondônia;Norte;2010;0.587;0.424;0.769;0.619
"Alvorada D'Oeste";Rondônia;Norte;1991;0.313;0.112;0.598;0.458
"Alvorada D'Oeste";Rondônia;Norte;2000;0.469;0.261;0.669;0.592
"Alvorada D'Oeste";Rondônia;Norte;2010;0.643;0.534;0.763;0.654
"Alto Alegre dos Parecis";Rondônia;Norte;1991;0.241;0.054;0.572;0.451
"Alto Alegre dos Parecis";Rondônia;Norte;2000;0.402;0.178;0.681;0.534
"Alto Alegre dos Parecis";Rondônia;Norte;2010;0.592;0.443;0.777;0.603
"Alto Paraíso";Rondônia;Norte;1991;0.269;0.074;0.578;0.454
"Alto Paraíso";Rondônia;Norte;2000;0.446;0.197;0.693;0.649
"Alto Paraíso";Rondônia;Norte;2010;0.625;0.457;0.804;0.664
Buritis;Rondônia;Norte;1991;0.325;0.113;0.638;0.474
Buritis;Rondônia;Norte;2000;0.415;0.161;0.672;0.660
Buritis;Rondônia;Norte;2010;0.616;0.479;0.751;0.650
"Novo Horizonte do Oeste";Rondônia;Norte;1991;0.199;0.038;0.572;0.362
"Novo Horizonte do Oeste";Rondônia;Norte;2000;0.442;0.202;0.682;0.627
"Novo Horizonte do Oeste";Rondônia;Norte;2010;0.634;0.527;0.799;0.606
Cacaulândia;Rondônia;Norte;1991;0.283;0.079;0.609;0.470
Cacaulândia;Rondônia;Norte;2000;0.454;0.206;0.703;0.647
