Ano;State;Region;IDHM;IDHMEducacao;IDHMLongividade;IDHMRenda
2017;"Distrito Federal";Centro-oeste;0.850;0.804;0.890;0.859
2017;"São Paulo";Sudeste;0.826;0.828;0.854;0.796
2017;"Santa Catarina";Sul;0.808;0.779;0.866;0.783
2017;"Rio de Janeiro";Sudeste;0.796;0.763;0.858;0.769
2017;Paraná;Sul;0.792;0.764;0.843;0.771
2017;"Rio Grande do Sul";Sul;0.787;0.729;0.849;0.787
2017;"Minas Gerais";Sudeste;0.787;0.753;0.875;0.741
2017;"Mato Grosso";Centro-oeste;0.774;0.758;0.825;0.742
2017;"Espírito Santo";Sudeste;0.772;0.732;0.850;0.740
2017;Goiás;Centro-oeste;0.769;0.740;0.822;0.747
2017;"Mato Grosso do Sul";Centro-oeste;0.766;0.710;0.847;0.748
2017;Roraima;Norte;0.752;0.771;0.781;0.706
2017;Tocantins;Norte;0.743;0.727;0.811;0.696
2017;Amapá;Norte;0.740;0.710;0.820;0.695
2017;Ceará;Nordeste;0.735;0.717;0.818;0.676
2017;Amazonas;Norte;0.733;0.735;0.786;0.682
2017;"Rio Grande do Norte";Nordeste;0.731;0.677;0.849;0.680
2017;Pernambuco;Nordeste;0.727;0.685;0.821;0.682
2017;Rondônia;Norte;0.725;0.703;0.776;0.699
2017;Paraíba;Nordeste;0.722;0.671;0.809;0.694
2017;Acre;Norte;0.719;0.682;0.821;0.664
2017;Bahia;Nordeste;0.714;0.654;0.812;0.685
2017;Sergipe;Nordeste;0.702;0.640;0.799;0.677
2017;Pará;Norte;0.698;0.661;0.788;0.654
2017;Piauí;Nordeste;0.697;0.666;0.771;0.660
2017;Maranhão;Nordeste;0.687;0.682;0.764;0.623
2017;Alagoas;Nordeste;0.683;0.636;0.783;0.639
2010;"Distrito Federal";Centro-oeste;0.824;0.742;0.873;0.863
2010;"São Paulo";Sudeste;0.783;0.719;0.845;0.789
2010;"Santa Catarina";Sul;0.774;0.697;0.860;0.773
2010;"Rio de Janeiro";Sudeste;0.761;0.675;0.835;0.782
2010;Paraná;Sul;0.749;0.668;0.830;0.757
2010;"Rio Grande do Sul";Sul;0.746;0.642;0.840;0.769
2010;"Minas Gerais";Sudeste;0.731;0.638;0.838;0.730
2010;"Mato Grosso";Centro-oeste;0.725;0.635;0.821;0.732
2010;"Espírito Santo";Sudeste;0.740;0.653;0.835;0.743
2010;Goiás;Centro-oeste;0.735;0.646;0.827;0.742
2010;"Mato Grosso do Sul";Centro-oeste;0.729;0.629;0.833;0.740
2010;Roraima;Norte;0.707;0.628;0.809;0.695
2010;Tocantins;Norte;0.699;0.624;0.793;0.690
2010;Amapá;Norte;0.708;0.629;0.813;0.694
2010;Ceará;Nordeste;0.682;0.615;0.793;0.651
2010;Amazonas;Norte;0.674;0.561;0.805;0.677
