Ano;Region;PIB;"PIB Y-1";"Growing Tax"
2002;Centro-oeste;128162645.00;0.00;0.000000
2002;Nordeste;194847669.00;0.00;0.000000
2002;Norte;69902373.00;0.00;0.000000
2002;Sudeste;854309807.00;0.00;0.000000
2002;Sul;241564816.00;0.00;0.000000
2003;Centro-oeste;152557678.00;128162645.00;0.190344
2003;Nordeste;220572265.00;194847669.00;0.132024
2003;Norte;81554148.00;69902373.00;0.166686
2003;Sudeste;969803038.00;854309807.00;0.135189
2003;Sul;293463303.00;241564816.00;0.214843
2004;Centro-oeste;174941309.00;152557678.00;0.146722
2004;Nordeste;251730202.00;220572265.00;0.141260
2004;Norte;97051137.00;81554148.00;0.190021
2004;Sudeste;1105765879.00;969803038.00;0.140196
2004;Sul;328262703.00;293463303.00;0.118582
2005;Centro-oeste;187338232.00;174941309.00;0.070863
2005;Nordeste;282840635.00;251730202.00;0.123586
2005;Norte;106523359.00;97051137.00;0.097600
2005;Sudeste;1248258024.00;1105765879.00;0.128863
2005;Sul;345376531.00;328262703.00;0.052135
2006;Centro-oeste;203404876.00;187580109.00;0.084363
2006;Nordeste;317948152.00;282846505.00;0.124101
2006;Norte;121371653.00;106523359.00;0.139390
2006;Sudeste;1390390897.00;1248258024.00;0.113865
2006;Sul;376334357.00;345376531.00;0.089635
2007;Centro-oeste;232926913.00;203404876.00;0.145139
2007;Nordeste;354392350.00;317948152.00;0.114623
2007;Norte;135631863.00;121371653.00;0.117492
2007;Sudeste;1560365097.00;1390390897.00;0.122249
2007;Sul;436946740.00;376334357.00;0.161060
2008;Centro-oeste;278138889.00;232926913.00;0.194104
2008;Nordeste;406101803.00;354392350.00;0.145910
2008;Norte;156676717.00;135631863.00;0.155162
2008;Sudeste;1771494753.00;1560365097.00;0.135308
2008;Sul;497390941.00;436946740.00;0.138333
2009;Centro-oeste;309400651.00;278138889.00;0.112396
2009;Nordeste;451885327.00;406101803.00;0.112739
2009;Norte;166210203.00;156676717.00;0.060848
2009;Sudeste;1875403897.00;1771494753.00;0.058656
2009;Sul;530119098.00;497390941.00;0.065800
2010;Centro-oeste;354815818.00;309400651.00;0.146784
2010;Nordeste;522769299.00;451905507.00;0.156811
2010;Norte;207093641.00;166210203.00;0.245974
2010;Sudeste;2180987793.00;1875403897.00;0.162943
2010;Sul;620180421.00;530119098.00;0.169889
2011;Centro-oeste;400152785.00;354815818.00;0.127776
2011;Nordeste;583412756.00;522769299.00;0.116004
2011;Norte;241027909.00;207093641.00;0.163860
2011;Sudeste;2455541518.00;2180987793.00;0.125885
2011;Sul;696247009.00;620180421.00;0.122652
2012;Centro-oeste;444538053.00;400152785.00;0.110921
2012;Nordeste;653086292.00;583412756.00;0.119424
2012;Norte;259100994.00;241027909.00;0.074983
2012;Sudeste;2693051827.00;2455541518.00;0.096724
2012;Sul;765001872.00;696247009.00;0.098751
2013;Centro-oeste;485340363.00;444538053.00;0.091786
2013;Nordeste;724523778.00;653086292.00;0.109384
2013;Norte;292229244.00;259100994.00;0.127858
2013;Sudeste;2948743735.00;2693051827.00;0.094945
2013;Sul;880079226.00;765001872.00;0.150428
2014;Centro-oeste;542632023.00;485623023.00;0.117394
2014;Nordeste;805099081.00;724523778.00;0.111211
2014;Norte;308076996.00;292442289.00;0.053463
2014;Sudeste;3174690676.00;2948743735.00;0.076625
2014;Sul;948454002.00;880286124.00;0.077438
2015;Centro-oeste;579746197.00;542632023.00;0.068397
2015;Nordeste;848579381.00;805099081.00;0.054006
2015;Norte;320688311.00;308076996.00;0.040936
2015;Sudeste;3238738049.00;3174690676.00;0.020174
2015;Sul;1008035060.00;948454002.00;0.062819
2016;Centro-oeste;633072235.00;579746197.00;0.091982
2016;Nordeste;898361860.00;848579381.00;0.058666
2016;Norte;337302084.00;320688311.00;0.051807
2016;Sudeste;3333233493.00;3238738049.00;0.029177
2016;Sul;1067358373.00;1008035060.00;0.058850
2017;Centro-oeste;659758692.00;633072235.00;0.042154
2017;Nordeste;953213228.00;898361860.00;0.061057
2017;Norte;367861920.00;337302084.00;0.090601
2017;Sudeste;3480767301.00;3333233493.00;0.044261
2017;Sul;1121717832.00;1067358373.00;0.050929
