Ano;State;Region;PIB;"PIB Y-1";"Growing Tax"
2002;Acre;Norte;2971304.00;0.00;0.000000
2002;Alagoas;Nordeste;11536854.00;0.00;0.000000
2002;Amapá;Norte;3173343.00;0.00;0.000000
2002;Amazonas;Norte;22093339.00;0.00;0.000000
2002;Bahia;Nordeste;58842980.00;0.00;0.000000
2002;Ceará;Nordeste;28718842.00;0.00;0.000000
2002;"Distrito Federal";Centro-oeste;53902200.00;0.00;0.000000
2002;"Espírito Santo";Sudeste;27048999.00;0.00;0.000000
2002;Goiás;Centro-oeste;38629367.00;0.00;0.000000
2002;Maranhão;Nordeste;15924007.00;0.00;0.000000
2002;"Mato Grosso";Centro-oeste;19190654.00;0.00;0.000000
2002;"Mato Grosso do Sul";Centro-oeste;16440424.00;0.00;0.000000
2002;"Minas Gerais";Sudeste;124071066.00;0.00;0.000000
2002;Pará;Norte;26482161.00;0.00;0.000000
2002;Paraíba;Nordeste;12747019.00;0.00;0.000000
2002;Paraná;Sul;88235712.00;0.00;0.000000
2002;Pernambuco;Nordeste;36056034.00;0.00;0.000000
2002;Piauí;Nordeste;7122636.00;0.00;0.000000
2002;"Rio de Janeiro";Sudeste;184310916.00;0.00;0.000000
2002;"Rio Grande do Norte";Nordeste;13566805.00;0.00;0.000000
2002;"Rio Grande do Sul";Sul;98847211.00;0.00;0.000000
2002;Rondônia;Norte;7467627.00;0.00;0.000000
2002;Roraima;Norte;2392032.00;0.00;0.000000
2002;"Santa Catarina";Sul;54481893.00;0.00;0.000000
2002;"São Paulo";Sudeste;518878826.00;0.00;0.000000
2002;Sergipe;Nordeste;10332492.00;0.00;0.000000
2002;Tocantins;Norte;5322567.00;0.00;0.000000
2003;Acre;Norte;3377235.00;2971304.00;0.136617
2003;Alagoas;Nordeste;12624029.00;11536854.00;0.094235
2003;Amapá;Norte;3413195.00;3173343.00;0.075583
2003;Amazonas;Norte;25862138.00;22093339.00;0.170585
2003;Bahia;Nordeste;67174230.00;58842980.00;0.141584
2003;Ceará;Nordeste;32687418.00;28718842.00;0.138187
2003;"Distrito Federal";Centro-oeste;58456124.00;53902200.00;0.084485
2003;"Espírito Santo";Sudeste;31519110.00;27048999.00;0.165260
2003;Goiás;Centro-oeste;45557894.00;38629367.00;0.179359
2003;Maranhão;Nordeste;19502903.00;15924007.00;0.224748
2003;"Mato Grosso";Centro-oeste;26697095.00;19190654.00;0.391151
2003;"Mato Grosso do Sul";Centro-oeste;21846565.00;16440424.00;0.328832
2003;"Minas Gerais";Sudeste;144189105.00;124071066.00;0.162149
2003;Pará;Norte;30270150.00;26482161.00;0.143039
2003;Paraíba;Nordeste;14737926.00;12747019.00;0.156186
2003;Paraná;Sul;110039424.00;88235712.00;0.247108
2003;Pernambuco;Nordeste;38815850.00;36056034.00;0.076542
2003;Piauí;Nordeste;8414898.00;7122636.00;0.181430
2003;"Rio de Janeiro";Sudeste;202640787.00;184310916.00;0.099451
2003;"Rio Grande do Norte";Nordeste;14865442.00;13566805.00;0.095722
2003;"Rio Grande do Sul";Sul;119325400.00;98847211.00;0.207170
2003;Rondônia;Norte;9425013.00;7467627.00;0.262116
2003;Roraima;Norte;2594080.00;2392032.00;0.084467
2003;"Santa Catarina";Sul;64098479.00;54481893.00;0.176510
2003;"São Paulo";Sudeste;591454036.00;518878826.00;0.139869
2003;Sergipe;Nordeste;11749569.00;10332492.00;0.137148
2003;Tocantins;Norte;6612337.00;5322567.00;0.242321
2004;Acre;Norte;3784001.00;3377235.00;0.120443
2004;Alagoas;Nordeste;14044904.00;12624029.00;0.112553
2004;Amapá;Norte;3824739.00;3413195.00;0.120574
2004;Amazonas;Norte;31090695.00;25862138.00;0.202170
2004;Bahia;Nordeste;77931719.00;67174230.00;0.160143
2004;Ceará;Nordeste;36890815.00;32687418.00;0.128594
2004;"Distrito Federal";Centro-oeste;67076505.00;58456124.00;0.147468
2004;"Espírito Santo";Sudeste;39732641.00;31519110.00;0.260589
2004;Goiás;Centro-oeste;51103822.00;45557894.00;0.121734
2004;Maranhão;Nordeste;22127135.00;19502903.00;0.134556
2004;"Mato Grosso";Centro-oeste;33388672.00;26697095.00;0.250648
2004;"Mato Grosso do Sul";Centro-oeste;23372310.00;21846565.00;0.069839
2004;"Minas Gerais";Sudeste;171870931.00;144189105.00;0.191983
2004;Pará;Norte;37272723.00;30270150.00;0.231336
2004;Paraíba;Nordeste;15757830.00;14737926.00;0.069203
2004;Paraná;Sul;123451534.00;110039424.00;0.121885
2004;Pernambuco;Nordeste;44982683.00;38815850.00;0.158874
