City;IsCapital;State;StateAbbrev;Region;IDHM;IDHMEducacao;IDHMLongividade;IDHMRenda;PIB;PIBperCapita;Population;Atividade1;Atividade2;Atividade3;QuantityStartups;TotalFundingAmount;Geocode.lon;Geocode.lat
Ariquemes;0;Rondônia;RO;Norte;702;600;806;716;2296074; 21389.67;107863;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-63.0330413; -9.9061054
Ji-Paraná;0;Rondônia;RO;Norte;714;617;810;728;3026759; 22814.71;128969;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;3;0;-61.9326728;-10.8781412
Porto Velho;1;Rondônia;RO;Norte;736;638;819;764;16514535; 31793.20;529544;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;4;0;-63.9004398; -8.7611933
Rolim de Moura;0;Rondônia;RO;Norte;700;598;808;709;1297525; 22734.08;55058;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação;1;0;-61.7781409;-11.7256983
Vilhena;0;Rondônia;RO;Norte;731;659;808;734;2555582; 26723.64;99854;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-60.1184797;-12.0416685
Rio Branco;1;Acre;AC;Norte;727;661;798;729;8151494; 21258.68;407319;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-68.4293214; -9.9753374
Manaus;1;Amazonas;AM;Norte;737;658;826;738;73201651; 34362.71;2182763;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;33;12796;-60.0217314; -3.1190275
Boa Vista;1;Roraima;RR;Norte;752;708;816;737;8939317; 26924.03;399213;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;2;0;-60.6758331;  2.8235098
Abaetetuba;0;Pará;PA;Norte;628;537;798;579;1337194;  8718.18;157698;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;1;0;-48.8792698; -1.7221887
Ananindeua;0;Pará;PA;Norte;718;658;821;684;6979135; 13523.96;530598;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;2;0;-48.3746372; -1.3650671
Belém;1;Pará;PA;Norte;746;673;822;751;30238484; 20821.46;1492745;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;10;0;-48.4901785; -1.4557292
Itaituba;0;Pará;PA;Norte;640;510;800;644;1770652; 17971.96;101247;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-55.9931173; -4.2670701
Paragominas;0;Pará;PA;Norte;645;514;781;667;2949844; 26810.43;113145;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;1;0;-47.3530977; -3.0026165
Santarém;0;Pará;PA;Norte;691;648;807;632;4835188; 16318.44;304589;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;1;0;-54.7009228; -2.4506291
