Ano;State;Region;CumulativeFoundedStartups;CumulativeFoundedStartupsY1;CumulativeClosedStartups;CumulativeClosedStartupsY1;QuantityStartups;GrowingTaxStartups;CumulativeTotalFundingAmountUSD;CumulativeTotalFundingAmountUSDY1;GrowingTaxUSD
2004;Acre;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Amapá;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Amazonas;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Bahia;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Ceará;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;"Distrito Federal";Centro-Oeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;"Espírito Santo";Sudeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Goiás;Centro-Oeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Maranhão;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;"Mato Grosso";Centro-Oeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;"Mato Grosso do Sul";Centro-Oeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;"Minas Gerais";Sudeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Pará;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Paraíba;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Paraná;Sul;1;0;0;0;1;0.0000;0.00;0.00;0.000000
2004;Pernambuco;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Piauí;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;"Rio de Janeiro";Sudeste;1;0;0;0;1;0.0000;350000.00;350000.00;0.000000
2004;"Rio Grande do Norte";Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;"Rio Grande do Sul";Sul;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Rondônia;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Roraima;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;"Santa Catarina";Sul;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;"São Paulo";Sudeste;2;0;0;0;2;0.0000;0.00;0.00;0.000000
2004;Sergipe;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2004;Tocantins;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;Acre;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;Amapá;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;Amazonas;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;Bahia;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;Ceará;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;"Distrito Federal";Centro-Oeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;"Espírito Santo";Sudeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;Goiás;Centro-Oeste;5;0;0;0;5;0.0000;0.00;0.00;0.000000
2005;Maranhão;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;"Mato Grosso";Centro-Oeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;"Mato Grosso do Sul";Centro-Oeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;"Minas Gerais";Sudeste;6;0;0;0;6;0.0000;2520906.00;2520906.00;0.000000
2005;Pará;Norte;1;0;0;0;1;0.0000;0.00;0.00;0.000000
2005;Paraíba;Nordeste;1;0;0;0;1;0.0000;0.00;0.00;0.000000
2005;Paraná;Sul;10;1;0;0;10;9.0000;2500000.00;2500000.00;0.000000
2005;Pernambuco;Nordeste;1;0;0;0;1;0.0000;0.00;0.00;0.000000
2005;Piauí;Nordeste;1;0;0;0;1;0.0000;0.00;0.00;0.000000
2005;"Rio de Janeiro";Sudeste;17;1;0;0;17;16.0000;350000.00;350000.00;0.000000
2005;"Rio Grande do Norte";Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;"Rio Grande do Sul";Sul;4;0;0;0;4;0.0000;0.00;0.00;0.000000
2005;Rondônia;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;Roraima;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;"Santa Catarina";Sul;9;0;0;0;9;0.0000;799648.00;799648.00;0.000000
2005;"São Paulo";Sudeste;43;2;0;0;43;20.5000;1625373.00;1625373.00;0.000000
2005;Sergipe;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2005;Tocantins;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;Acre;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;Amapá;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;Amazonas;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;Bahia;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;Ceará;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;"Distrito Federal";Centro-Oeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;"Espírito Santo";Sudeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;Goiás;Centro-Oeste;5;5;0;0;5;0.0000;0.00;0.00;0.000000
2006;Maranhão;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;"Mato Grosso";Centro-Oeste;1;0;0;0;1;0.0000;0.00;0.00;0.000000
2006;"Mato Grosso do Sul";Centro-Oeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;"Minas Gerais";Sudeste;16;6;0;0;16;1.6667;2520906.00;2520906.00;0.000000
2006;Pará;Norte;1;1;0;0;1;0.0000;0.00;0.00;0.000000
2006;Paraíba;Nordeste;2;1;0;0;2;1.0000;0.00;0.00;0.000000
2006;Paraná;Sul;12;10;0;0;12;0.2000;2500000.00;2500000.00;0.000000
2006;Pernambuco;Nordeste;3;1;0;0;3;2.0000;0.00;0.00;0.000000
2006;Piauí;Nordeste;1;1;0;0;1;0.0000;0.00;0.00;0.000000
2006;"Rio de Janeiro";Sudeste;26;17;0;0;26;0.5294;430900.00;430900.00;0.000000
2006;"Rio Grande do Norte";Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;"Rio Grande do Sul";Sul;9;4;0;0;9;1.2500;0.00;0.00;0.000000
2006;Rondônia;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;Roraima;Norte;0;0;0;0;0;0.0000;0.00;0.00;0.000000
2006;"Santa Catarina";Sul;12;9;0;0;12;0.3333;3917912.00;3917912.00;0.000000
2006;"São Paulo";Sudeste;91;43;0;0;91;1.1163;19031691.00;19031691.00;0.000000
2006;Sergipe;Nordeste;0;0;0;0;0;0.0000;0.00;0.00;0.000000
