id,categoria
0,Outro
1,Imobiliário
2,IA e Robótica
3,Cybersegurança e Infraestrutura
4,Big Data e Analytics
5,Apps e Mobile
6,Marketing
7,Smarthome e Construção
8,"Mobilidade, Logística e Transporte Público"
9,Impacto Social
10,Energia Renovável e Meio Ambiente
11,"Anúncios, Viagens e Turismo"
12,Plataforma de Marketplace
13,Serviços de Informação
14,FinTech
15,Serviços Profissionais e ao Cliente
16,"Moda, Cupons e Estilo de Vida"
17,"Gestão de Informações, Projetos e Negócios"
18,Consultoria e Treinamento para Profissionais
19,"Vídeo Games, Realidade Virtual e Impressão 3D"
20,Computação em Nuvem e Mobile
21,Portais Online
22,EdTech
23,Comércio Eletrônico
24,RHTech
25,Desenvolvimento e Web Design
26,AgTech
27,Mídias Digitais e Entretenimento
28,Consultoria para Pequenos e Médios Negócios
29,HealthCare
30,"Alimentos, Bebidas e Restaurantes"
31,Tecnologia da Informação
