OrganizationID;"Organization Name";"Headquarters Location";LinkedIn
3e60;3e60;"Rio De Janeiro, Rio de Janeiro, Brazil";"3D Technology, Artificial Intelligence, Augmented Reality, Developer Platform, Virtual Reality"
agris-d708;Agris;"Cuiabá, Mato Grosso, Brazil";"Agriculture, AgTech, Information Technology, SaaS, Software"
bizanc;Bizanc;"São Paulo, Sao Paulo, Brazil";"Blockchain, Cyber Security, Financial Services, FinTech, Information Technology, Trading Platform"
blue-hat;"Blue Hat";"Santos, Minas Gerais, Brazil";"Analytics, Business Intelligence, Information Services, Project Management"
dev4you;​dev4you;"Porto Alegre, Rio Grande do Sul, Brazil";"Digital Marketing, Information Services, Software"
ecostart;EcoStart;"Leme, Sao Paulo, Brazil";"E-Commerce, Manufacturing, Sustainability"
eduapps-2;EduApps;"Curitiba, Parana, Brazil";"Apps, EdTech, Education, Mobile, SaaS"
eventmania;EventMania;"Palmas, Tocantins, Brazil";"Events, Internet, Printing"
foodtraders;FoodTraders;"Rio De Janeiro, Rio de Janeiro, Brazil";"Food and Beverage, Marketplace, Restaurants, Shopping, Supply Chain Management"
hair-club-barbershop;"Hair Club Barbershop";"Muriaé, Minas Gerais, Brazil";"B2C, Beauty, Fashion, Professional Services, Service Industry"
kanttum;Kanttum;"Uberlândia, Minas Gerais, Brazil";"Corporate Training, Education, Information Technology"
kanui;Kanui;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Internet, Sporting Goods"
kardshare;Kardshare;"Curitiba, Parana, Brazil";"Information Services, Information Technology, Internet"
karriola;KARRIOLA;"São Paulo, Sao Paulo, Brazil";"Construction, Home Services, Information Services, Information Technology"
kauplus-social-commerce;Kauplus;"São Paulo, Sao Paulo, Brazil";"Analytics, E-Commerce, Social Media"
kazap;Kazap;"São Paulo, Sao Paulo, Brazil";"Computer, Roku, Software, Web Development"
kecaia;Kecaia;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Fashion, Internet"
keep-i;Keep.i;"São Paulo, Sao Paulo, Brazil";"Advertising, Marketing"
keepclear;KeepClear;"São Paulo, Sao Paulo, Brazil";"Compliance, Procurement, Risk Management, SaaS"
keeple---keep-it-simple;go.on;"São Paulo, Sao Paulo, Brazil";"Asset Management, Information Technology, SaaS"
keeps-9210;Keeps;"Florianópolis, Santa Catarina, Brazil";"Artificial Intelligence, E-Learning, EdTech"
keepz;Keepz;"Santo André, Bahia, Brazil";"Consumer, Information Technology, Marketplace, Retail, Wholesale"
kekanto;Kekanto;"São Paulo, Sao Paulo, Brazil";"Content, Direct Marketing, Location Based Services, Search Engine, Social Media"
kendoo-solutions;"Kendoo Solutions";"Rio De Janeiro, Rio de Janeiro, Brazil";"Cloud Computing, Information Services, Information Technology, Web Development"
kenoby;Kenoby;"Vila Olímpia, Sao Paulo, Brazil";"Recruiting, SaaS, Software, Staffing Agency"
kerocarro-com;KeroCarro.com;"São Paulo, Sao Paulo, Brazil";"Automotive, E-Commerce, Lead Generation"
kersys;Kersys;"São José Dos Campos, Sao Paulo, Brazil";"Agriculture, AgTech, Information Technology, SaaS"
keycash;KeyCash;"Brasil, Sao Paulo, Brazil";"Big Data, Mapping Services, Real Estate, Residential"
kickante;Kickante;"São Paulo, Sao Paulo, Brazil";"Art, Crowdfunding, Finance, Internet, Non Profit"
kickoff-2;Kickoff;"São Paulo, Sao Paulo, Brazil";"Apps, Dating, Mobile"
kidint;Kidint;"São Paulo, Sao Paulo, Brazil";"Digital Entertainment, Education, Mobile Apps, Social Media, Training"
kidopi;Kidopi;"Ribeirão Prêto, Minas Gerais, Brazil";"Health Care, Software"
kids-empreendu;"Kids Empreendu";"Teresina, Piaui, Brazil";"Apps, Children, Education, Gaming"
kimeo;Kimeo;"São Paulo, Sao Paulo, Brazil";"Apps, Communities, Health Care"
kinda-connected;"Kinda Connected";"Rio De Janeiro, Rio de Janeiro, Brazil";"Internet, Mobile, Web Development"
kinghost;KingHost;"Porto Alegre, Rio Grande do Sul, Brazil";"Cloud Infrastructure, Web Hosting"
