ano;cod_regiao;nome_regiao;cod_uf;sigla_uf;nome_uf;cod_munic;nome_munic;pib;pib_per_capita;ativ_maior_valor_1;ativ_maior_valor_2;ativ_maior_valor_3
2002;1;Norte;11;RO;Rondônia;1100015;Alta Floresta D'Oeste; 111291 ; 4.047,83 ;;;
2002;1;Norte;11;RO;Rondônia;1100023;Ariquemes; 449593 ; 5.667,37 ;;;
2002;1;Norte;11;RO;Rondônia;1100031;Cabixi; 31768 ; 4.246,99 ;;;
2002;1;Norte;11;RO;Rondônia;1100049;Cacoal; 474443 ; 6.353,27 ;;;
2002;1;Norte;11;RO;Rondônia;1100056;Cerejeiras; 79174 ; 4.442,47 ;;;
2002;1;Norte;11;RO;Rondônia;1100064;Colorado do Oeste; 87254 ; 4.253,57 ;;;
2002;1;Norte;11;RO;Rondônia;1100072;Corumbiara; 45165 ; 4.493,57 ;;;
2002;1;Norte;11;RO;Rondônia;1100080;Costa Marques; 37308 ; 3.664,15 ;;;
2002;1;Norte;11;RO;Rondônia;1100098;Espigão D'Oeste; 119312 ; 4.516,81 ;;;
2002;1;Norte;11;RO;Rondônia;1100106;Guajará-Mirim; 174680 ; 4.409,56 ;;;
2002;1;Norte;11;RO;Rondônia;1100114;Jaru; 306158 ; 5.604,51 ;;;
2002;1;Norte;11;RO;Rondônia;1100122;Ji-Paraná; 657400 ; 6.009,96 ;;;
2002;1;Norte;11;RO;Rondônia;1100130;Machadinho D'Oeste; 83828 ; 3.294,11 ;;;
2002;1;Norte;11;RO;Rondônia;1100148;Nova Brasilândia D'Oeste; 65740 ; 3.771,45 ;;;
2002;1;Norte;11;RO;Rondônia;1100155;Ouro Preto do Oeste; 191704 ; 4.695,64 ;;;
2002;1;Norte;11;RO;Rondônia;1100189;Pimenta Bueno; 180337 ; 5.703,07 ;;;
2002;1;Norte;11;RO;Rondônia;1100205;Porto Velho; 2325673 ; 6.594,74 ;;;
2002;1;Norte;11;RO;Rondônia;1100254;Presidente Médici; 93482 ; 3.601,57 ;;;
2002;1;Norte;11;RO;Rondônia;1100262;Rio Crespo; 15549 ; 4.865,28 ;;;
2002;1;Norte;11;RO;Rondônia;1100288;Rolim de Moura; 231270 ; 4.781,96 ;;;
2002;1;Norte;11;RO;Rondônia;1100296;Santa Luzia D'Oeste; 46045 ; 4.040,77 ;;;
2002;1;Norte;11;RO;Rondônia;1100304;Vilhena; 448260 ; 7.683,32 ;;;
2002;1;Norte;11;RO;Rondônia;1100320;São Miguel do Guaporé; 73737 ; 2.759,63 ;;;
2002;1;Norte;11;RO;Rondônia;1100338;Nova Mamoré; 51341 ; 3.030,60 ;;;
2002;1;Norte;11;RO;Rondônia;1100346;Alvorada D'Oeste; 66869 ; 3.391,10 ;;;
2002;1;Norte;11;RO;Rondônia;1100379;Alto Alegre dos Parecis; 46139 ; 3.349,49 ;;;
2002;1;Norte;11;RO;Rondônia;1100403;Alto Paraíso; 45060 ; 3.121,40 ;;;
2002;1;Norte;11;RO;Rondônia;1100452;Buritis; 97946 ; 3.033,05 ;;;
2002;1;Norte;11;RO;Rondônia;1100502;Novo Horizonte do Oeste; 46575 ; 3.718,56 ;;;
2002;1;Norte;11;RO;Rondônia;1100601;Cacaulândia; 27707 ; 5.123,29 ;;;
2002;1;Norte;11;RO;Rondônia;1100700;Campo Novo de Rondônia; 34793 ; 2.442,61 ;;;
2002;1;Norte;11;RO;Rondônia;1100809;Candeias do Jamari; 61407 ; 4.162,08 ;;;
2002;1;Norte;11;RO;Rondônia;1100908;Castanheiras; 18453 ; 4.430,41 ;;;
2002;1;Norte;11;RO;Rondônia;1100924;Chupinguaia; 37622 ; 6.313,50 ;;;
2002;1;Norte;11;RO;Rondônia;1100940;Cujubim; 33917 ; 4.471,06 ;;;
2002;1;Norte;11;RO;Rondônia;1101005;Governador Jorge Teixeira; 43979 ; 2.811,94 ;;;
2002;1;Norte;11;RO;Rondônia;1101104;Itapuã do Oeste; 37463 ; 4.961,34 ;;;
2002;1;Norte;11;RO;Rondônia;1101203;Ministro Andreazza; 37732 ; 3.340,31 ;;;
2002;1;Norte;11;RO;Rondônia;1101302;Mirante da Serra; 45239 ; 3.340,63 ;;;
2002;1;Norte;11;RO;Rondônia;1101401;Monte Negro; 49520 ; 3.467,82 ;;;
2002;1;Norte;11;RO;Rondônia;1101435;Nova União; 28852 ; 3.302,71 ;;;
2002;1;Norte;11;RO;Rondônia;1101450;Parecis; 15886 ; 4.591,24 ;;;
2002;1;Norte;11;RO;Rondônia;1101468;Pimenteiras do Oeste; 14809 ; 5.766,84 ;;;
2002;1;Norte;11;RO;Rondônia;1101476;Primavera de Rondônia; 18167 ; 4.183,08 ;;;
2002;1;Norte;11;RO;Rondônia;1101484;São Felipe D'Oeste; 23124 ; 3.239,53 ;;;
2002;1;Norte;11;RO;Rondônia;1101492;São Francisco do Guaporé; 49113 ; 3.455,24 ;;;
2002;1;Norte;11;RO;Rondônia;1101500;Seringueiras; 39708 ; 2.950,75 ;;;
2002;1;Norte;11;RO;Rondônia;1101559;Teixeirópolis; 20170 ; 3.523,21 ;;;
2002;1;Norte;11;RO;Rondônia;1101609;Theobroma; 40171 ; 3.245,34 ;;;
2002;1;Norte;11;RO;Rondônia;1101708;Urupá; 47558 ; 2.972,37 ;;;
2002;1;Norte;11;RO;Rondônia;1101757;Vale do Anari; 24444 ; 2.719,08 ;;;
2002;1;Norte;11;RO;Rondônia;1101807;Vale do Paraíso; 34692 ; 3.438,95 ;;;
2002;1;Norte;12;AC;Acre;1200013;Acrelândia; 39622 ; 4.477,08 ;;;
2002;1;Norte;12;AC;Acre;1200054;Assis Brasil; 12789 ; 3.454,52 ;;;
2002;1;Norte;12;AC;Acre;1200104;Brasiléia; 72997 ; 4.025,64 ;;;
2002;1;Norte;12;AC;Acre;1200138;Bujari; 26743 ; 3.929,26 ;;;
2002;1;Norte;12;AC;Acre;1200179;Capixaba; 32492 ; 5.176,41 ;;;
2002;1;Norte;12;AC;Acre;1200203;Cruzeiro do Sul; 262002 ; 3.506,59 ;;;
2002;1;Norte;12;AC;Acre;1200252;Epitaciolândia; 53797 ; 4.351,77 ;;;
2002;1;Norte;12;AC;Acre;1200302;Feijó; 72819 ; 2.423,97 ;;;
2002;1;Norte;12;AC;Acre;1200328;Jordão; 14549 ; 3.201,70 ;;;
2002;1;Norte;12;AC;Acre;1200336;Mâncio Lima; 31111 ; 2.529,14 ;;;
2002;1;Norte;12;AC;Acre;1200344;Manoel Urbano; 19936 ; 2.842,69 ;;;
2002;1;Norte;12;AC;Acre;1200351;Marechal Thaumaturgo; 26714 ; 3.189,37 ;;;
2002;1;Norte;12;AC;Acre;1200385;Plácido de Castro; 54088 ; 3.337,50 ;;;
2002;1;Norte;12;AC;Acre;1200393;Porto Walter; 16533 ; 3.224,14 ;;;
2002;1;Norte;12;AC;Acre;1200401;Rio Branco; 1840093 ; 6.597,04 ;;;
2002;1;Norte;12;AC;Acre;1200427;Rodrigues Alves; 26749 ; 3.099,51 ;;;
2002;1;Norte;12;AC;Acre;1200435;Santa Rosa do Purus; 9012 ; 3.186,71 ;;;
