ano;cod_regiao;nome_regiao;cod_uf;sigla_uf;nome_uf;cod_munic;nome_munic;pib;pib_per_capita;ativ_maior_valor_1;ativ_maior_valor_2;ativ_maior_valor_3
2017;1;Norte;11;RO;Rondônia;1100015;Alta Floresta D'Oeste; 498864 ; 19.611,75 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100023;Ariquemes; 2296074 ; 21.389,67 ;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1;Norte;11;RO;Rondônia;1100031;Cabixi; 138894 ; 22.315,80 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;1;Norte;11;RO;Rondônia;1100049;Cacoal; 2127523 ; 24.037,91 ;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1;Norte;11;RO;Rondônia;1100056;Cerejeiras; 448524 ; 25.009,71 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1;Norte;11;RO;Rondônia;1100064;Colorado do Oeste; 340047 ; 18.413,74 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1;Norte;11;RO;Rondônia;1100072;Corumbiara; 330393 ; 38.156,05 ;Produção florestal, pesca e aquicultura;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social
2017;1;Norte;11;RO;Rondônia;1100080;Costa Marques; 215992 ; 12.413,35 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100098;Espigão D'Oeste; 577982 ; 17.498,71 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1;Norte;11;RO;Rondônia;1100106;Guajará-Mirim; 804570 ; 16.955,80 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1;Norte;11;RO;Rondônia;1100114;Jaru; 1413628 ; 25.301,65 ;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1;Norte;11;RO;Rondônia;1100122;Ji-Paraná; 3026759 ; 22.814,71 ;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1;Norte;11;RO;Rondônia;1100130;Machadinho D'Oeste; 607111 ; 15.724,60 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100148;Nova Brasilândia D'Oeste; 360966 ; 16.598,42 ;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
2017;1;Norte;11;RO;Rondônia;1100155;Ouro Preto do Oeste; 777713 ; 19.560,69 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1;Norte;11;RO;Rondônia;1100189;Pimenta Bueno; 1076411 ; 28.288,63 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;1;Norte;11;RO;Rondônia;1100205;Porto Velho; 16514535 ; 31.793,20 ;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;1;Norte;11;RO;Rondônia;1100254;Presidente Médici; 415050 ; 18.760,18 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100262;Rio Crespo; 106320 ; 27.767,17 ;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura
2017;1;Norte;11;RO;Rondônia;1100288;Rolim de Moura; 1297525 ; 22.734,08 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
2017;1;Norte;11;RO;Rondônia;1100296;Santa Luzia D'Oeste; 158612 ; 19.347,70 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100304;Vilhena; 2555582 ; 26.723,64 ;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;1;Norte;11;RO;Rondônia;1100320;São Miguel do Guaporé; 649904 ; 26.876,64 ;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100338;Nova Mamoré; 473026 ; 16.372,80 ;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100346;Alvorada D'Oeste; 262692 ; 15.685,89 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100379;Alto Alegre dos Parecis; 335440 ; 23.883,26 ;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
2017;1;Norte;11;RO;Rondônia;1100403;Alto Paraíso; 319784 ; 15.288,98 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100452;Buritis; 666233 ; 17.063,65 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100502;Novo Horizonte do Oeste; 168303 ; 16.744,93 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100601;Cacaulândia; 140788 ; 21.793,88 ;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100700;Campo Novo de Rondônia; 276532 ; 19.092,23 ;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100809;Candeias do Jamari; 538155 ; 21.299,57 ;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços
2017;1;Norte;11;RO;Rondônia;1100908;Castanheiras; 111483 ; 31.403,68 ;Produção florestal, pesca e aquicultura;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social
2017;1;Norte;11;RO;Rondônia;1100924;Chupinguaia; 280763 ; 26.504,59 ;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;1;Norte;11;RO;Rondônia;1100940;Cujubim; 324023 ; 14.437,60 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1101005;Governador Jorge Teixeira; 182629 ; 18.740,83 ;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1;Norte;11;RO;Rondônia;1101104;Itapuã do Oeste; 160828 ; 15.599,18 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1;Norte;11;RO;Rondônia;1101203;Ministro Andreazza; 218099 ; 20.286,44 ;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
2017;1;Norte;11;RO;Rondônia;1101302;Mirante da Serra; 212397 ; 17.327,20 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;1;Norte;11;RO;Rondônia;1101401;Monte Negro; 268258 ; 16.573,47 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2017;1;Norte;11;RO;Rondônia;1101435;Nova União; 121495 ; 15.638,40 ;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2017;1;Norte;11;RO;Rondônia;1101450;Parecis; 102393 ; 17.343,07 ;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
