ano;cod_ies;nome_ies;sigla_ies;categoria_adm;organizacao_acad;uf;igc_continuo;igc_faixa;nome_google_place;latitude;longitude;endereco;endereco_detalhe
2018;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;Universidade;MT;3,16486;4;Universidade Federal de Mato Grosso;-15.6122341;-56.06969789999999;R. Quarenta e Nove, 2367 - Boa Esperança, Cuiabá - MT, 78060-900, Brasil;9WQJ+44 Boa Esperança, Cuiabá - MT
2018;2;UNIVERSIDADE DE BRASÍLIA;UNB;Pública Federal;Universidade;DF;3,94404;4;Universidade de Brasília;-15.7631573;-47.8706311;UnB - Brasília, DF, 70910-900, Brasil;64PH+PP Brasília, DF
2018;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;Universidade;SE;3,27842;4;Universidade Federal de Sergipe Campus São Cristóvão;-10.9264467;-37.102553;Av. Marechal Rondon, s/n - Jardim Rosa Elze, São Cristóvão - SE, 49100-000, Brasil;3VFW+CX Aracaju, SE
2018;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Pública Federal;Universidade;AM;2,95312;4;UFAM;-3.1002387;-59.9765537;Av. General Rodrigo Octavio Jordão Ramos, 1200 - Coroado I, Manaus - AM, 69067-005, Brasil;V2XF+W9 Coroado, Manaus - AM
2018;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Pública Federal;Universidade;PI;2,90769;3;Universidade Federal do Piauí;-5.0586047;-42.7985212;Campus Universitário Ministro Petrônio Portella - Ininga, Teresina - PI, 64049-550, Brasil;W6R2+HH Ininga, Teresina - PI
2018;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Pública Federal;Universidade;MG;3,40643;4;Universidade Federal de Ouro Preto - UFOP;-20.3969645;-43.5095303;Rua Professor Paulo Magalhães Gomes, 122 - Bauxita, Ouro Preto - MG, 35400-000, Brasil;JF3R+65 Bauxita, Ouro Preto - MG
2018;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Pública Federal;Universidade;SP;4,0368;5;UFSCar - Universidade Federal de São Carlos;-21.9838521;-47.8815359;Rod. Washington Luiz, s/n, São Carlos - SP, 13565-905, Brasil;2489+F9 São Carlos, SP
2018;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Pública Federal;Universidade;MG;4,06704;5;UFV;-20.7610693;-42.8701632;Av. Peter Henry Rolfs, s/n - Campus Universitário, Viçosa - MG, 36570-900, Brasil;64QH+HW Bela Vista, Viçosa - MG
2018;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Pública Estadual;Universidade;PR;3,69456;4;Universidade Estadual de Londrina;-23.3241912;-51.2003547;Rodovia Celso Garcia Cid - Pr 445 Km 380 Cx. Postal 10.011 - Campus Universitário, PR, 86057-970, Brasil;MQGX+8V Campus Universitário, Londrina - PR
2018;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;Universidade;PR;3,41294;4;Pontifícia Universidade Católica do Paraná;-25.4518669;-49.2511097;R. Imac. Conceição, 1155 - Prado Velho, Curitiba - PR, 80215-901, Brasil;GPXX+7H Prado Velho - Matriz, Curitiba - PR
2018;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Privada sem fins lucrativos;Universidade;PE;2,80491;3;Universidade Católica De Pernambuco;-8.054895499999999;-34.8877622;R. do Príncipe, 526 - Boa Vista, Recife - PE, 50050-900, Brasil;W4W6+2V Boa Vista, Recife - PE
2018;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Pública Federal;Universidade;RS;3,43087;4;Universidade Federal do Rio Grande, Campus Carreiros;-32.0680354;-52.161541;Av. Itália, s/n - Km 8 - Carreiros, Rio Grande - RS, Brasil;WRJQ+Q9 Rio Grande - Carreiros, Rio Grande - RS
2018;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Privada sem fins lucrativos;Universidade;RS;3,01539;4;Universidade de Caxias do Sul - Cidade Universitária;-29.1611314;-51.1532777;Campus Sede, R. Francisco Getúlio Vargas, 1130 - Petrópolis, Caxias do Sul - RS, Brasil;RRQW+GM Petrópolis, Caxias do Sul - RS
2018;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Privada sem fins lucrativos;Universidade;RS;3,60814;4;Universidade do Vale do Rio dos Sinos - Campus São Leopoldo;-29.7955145;-51.1521175;Av. Unisinos, 950 - Cristo Rei, São Leopoldo - RS, 93022-750, Brasil;6R3X+Q5 Cristo Rei, São Leopoldo - RS
2018;15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Privada sem fins lucrativos;Universidade;RJ;2,77089;3;Universidade Católica de Petrópolis;-22.510821;-43.1844264;R. Barão do Amazonas, 124 - Centro, Petrópolis - RJ, 25685-100, Brasil;FRQ8+M6 Centro, Petrópolis - RJ
2018;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Pública Federal;Universidade;MG;3,71657;4;Universidade Federal de Uberlândia;-18.918473;-48.2581763;Av. João Naves de Ávila, 2121 - Santa Mônica, Uberlândia - MG, 38408-100, Brasil;3PJR+JP Santa Mônica, Uberlândia - MG
