id_empresa;nome_empresa;cidade_empresa;categoria_empresa;nome_google_place;latitude;longitude;endereco;categoria_pt
00k-e-commerce-tools;00K E-Commerce Tools;São Paulo, Sao Paulo, Brazil;E-Commerce, Information Services, Marketing, Online Portals, Software;00K e-business tools;-23.6256645;-46.7021324;Av. Dr. Chucri Zaidan, 1550 - Conj. 2902 - Santo Amaro, São Paulo - SP, 04583-110, Brasil;Comércio Eletrônico, Serviços de Informação, Marketing, Portais Online, Software
1001-cupom-de-descontos;1001 Cupom de descontos;Porto Alegre, Rio Grande do Sul, Brazil;Coupons, E-Commerce, Internet, Software;1001 cupom de descontos;-29.1686811;-51.51925079999999;R. Félix da Cunha, 170 - Centro, Bento Gonçalves - RS, 95700-000, Brasil;Cupons, Comércio Eletrônico, Internet, Software
120mm-studio-manager;120mm Studio Manager;Belo Horizonte, Minas Gerais, Brazil;Enterprise Resource Planning (ERP), Photography, Project Management, Software;;;;;Enterprise Resource Planning (ERP), Fotografia, Gerenciamento de projetos, Software
1234enter;1234ENTER;São Paulo, Sao Paulo, Brazil;Advertising, Analytics, E-Commerce, Education, Small and Medium Businesses;Universidade de São Paulo;-23.5613991;-46.7307891;Butanta, São Paulo - SP, Brasil;Publicidade, Analítica, Comércio Eletrônico, Educação, Pequenas e Médias Empresas
123carros;123carros;São Paulo, Sao Paulo, Brazil;Automotive, Internet, Peer to Peer, Service Industry;123carros - Compra e Venda de Carros Usados e Seminovos;-23.5985848;-46.6726742;Av. Hélio Pellegrino, 785 - Vila Nova Conceição, São Paulo - SP, 04513-100, Brasil;Automotivo, Internet, Ponto a Ponto, Setor de Serviços
1doc;1Doc;Florianópolis, Santa Catarina, Brazil;Document Management, Information and Communications Technology (ICT);1Doc Tecnologia;-27.4308209;-48.445205;Av. Luiz Boiteux Piazza, 1302 - Canasvieiras, Florianópolis - SC, 88054-700, Brasil;Gestão de Documentos, Tecnologia da Informação e Comunicações (TIC)
1will;1Will;Florianópolis, Santa Catarina, Brazil;Fitness, Health Care, Wellness;1Will;-27.5446939;-48.5000541;Rod. José Carlos Daux, 4150 - Saco Grande, Florianópolis - SC, 88032-005, Brasil;Fitness, Assistência Médica, Bem-estar
2adv-soluções-jurídicas;2ADV Soluções Jurídicas;Chapecó, Sao Paulo, Brazil;Legal, SaaS, Software;2ADV Soluções Jurídicas;-27.1044915;-52.61133599999999;R. Mal. Floriano Peixoto, 294 - Maria Goretti, Chapecó - SC, 89801-426, Brasil;Jurídico, SaaS, Software
2b-educação;2B Educação;Salvador, Sao Paulo, Brazil;E-Commerce, Education, Information Technology;2B Educação;-12.984924;-38.45044;R. Dr. José Peroba, 275 - Pituba, Salvador - BA, 41770-235, Brasil;Comércio Eletrônico, Educação, Tecnologia da Informação
2buzz;2buzz Marketing & Digital;São Paulo, Sao Paulo, Brazil;Advertising, E-Commerce, Email Marketing, Internet, Marketing;Agência de Marketing Digital SP - Rank Marketing Digital;-23.6255144;-46.7023064;Av. Dr. Chucri Zaidan, 1550 - sala 1808/119c - Vila Cordeiro, São Paulo - SP, 04583-110, Brasil;Publicidade, Comércio Eletrônico, Email Marketing, Internet, Marketing
2im;2iM;Curitiba, Parana, Brazil;Analytics, Application Performance Management, Health Care, Information Services, Information Technology, Professional Services;2iM Inteligência Médica;-25.4216628;-49.2721869;Rua Duque de Caxias, 638 - São Francisco, Curitiba - PR, 80530-040, Brasil;Análise, Gerenciamento de desempenho de aplicativos, Assistência médica, Serviços de informação, Tecnologia da informação, Serviços profissionais
301-yt;301.yt;São Paulo, Sao Paulo, Brazil;Advertising, Internet, Video Advertising;301.yt;-23.5902746;-46.6387588;R. Prof. Frontino Guimarães, 99 - Vila Mariana, São Paulo - SP, 04017-050, Brasil;Publicidade, Internet, Publicidade em vídeo
321comm;321Comm;Rio De Janeiro, Rio de Janeiro, Brazil;Brand Marketing, Communications Infrastructure, Content, Digital Marketing, Marketing;MJV Technology & Innovation;-22.9097219;-43.1689707;Av. Mal. Câmara, 160 - Centro, Rio de Janeiro - RJ, 20020-080, Brasil;Marketing de Marca, Infraestrutura de Comunicação, Conteúdo, Marketing Digital, Marketing
3c-plus;3C Plus;Curitiba, Parana, Brazil;Cloud Computing, Customer Service, Internet, Software, VoIP, Web Development;3C Plus;-25.3918335;-51.466005;R. Padre Chagas, 3236 - Centro, Guarapuava - PR, 85010-020, Brasil;Computação em nuvem, Atendimento ao cliente, Internet, Software, VoIP, Desenvolvimento Web
3d-explora;3D Explora;Campina, Sao Paulo, Brazil;Augmented Reality, Business Intelligence, Information Technology, Software, Virtual Reality;3D Explora;-22.8988879;-47.0447141;R. Dr. José Ferreira Camargo, 1015-921 - Jardim Planalto, Campinas - SP, 13092-005, Brasil;Realidade Aumentada, Inteligência de Negócios, Tecnologia da Informação, Software, Realidade Virtual
3days;3days;Rio De Janeiro, Rio de Janeiro, Brazil;Professional Networking, Professional Services, Training;;;;;Contatos profissionais, Serviços profissionais, Treinamento
3dprotos;3DProtos;Pôrto Alegre, Mato Grosso, Brazil;3D Printing, Fitness, Health Care, Professional Services, Wellness;3D Protos;-30.0178702;-51.1860958;Saoex Center - R. Dom Pedro II, 1220 - 514 - Higienópolis, Porto Alegre - RS, 90550-143, Brasil;Impressão 3D, Fitness, Assistência médica, Serviços profissionais, Bem-estar
3dtek;3DTEK;São Paulo, Sao Paulo, Brazil;3D Printing, 3D Technology, Animation, Drones, Graphic Design, Laser, Robotics, Virtual Reality;3DTEK Impressão 3D;-23.5613648;-46.6935029;Av. Pedroso de Morais, 1081 - Pinheiros, São Paulo - SP, 05419-001, Brasil;Impressão 3D, Tecnologia 3D, Animação, Drones, Design Gráfico, Laser, Robótica, Realidade Virtual
